Tiêu đề,Giá,Diện tích,Vị trí,Ngày đăng,Danh sách đường dẫn
"Nhà xưởng, kho bãi tại Hải Dương chỉ 50k/m2 từ 1.000m2 - 10hec, PCCC đầy đủ","
50 Triệu/tháng","
1000 m²","
Cẩm Giàng - Hải Dương",29/06/2023,['https://img.dothi.net/crop/170x115/2023/05/08/20230508135900-0348_wm.jpg']
"Cho thuê nhà xưởng, kho tại KCN Hải Dương từ 1.000m2 - 15hecta giá 50k/m2","
50 Triệu/tháng","
1000 m²","
Chí Linh - Hải Dương",29/06/2023,['https://img.dothi.net/crop/170x115/2023/05/08/20230508141148-5eaf_wm.jpg']
"Cho thuê 3900m2 nhà xưởng, kho mới ở KCN Đồng An 2 TP mới Bình Dương","
56.73 Nghìn/m²/tháng","
3900 m²","
Thủ Dầu Một - Bình Dương",29/06/2023,['https://img.dothi.net/crop/170x115/2017/09/08/20170908164131-dacc_wm.jpg']
Chính chủ Cho thuê nhà riêng để ở mặt ngõ Quan thổ -Tôn Đức Thắng DT Tầng 1 30m2+3.5 tầng 1 cửa hàn,"
Thỏa thuận","
Không xác định","
Đống Đa - Hà Nội",29/06/2023,['/Images/no-photo170.png']
Chính chủ cho thuê nhà mặt phố Quan Thổ ngõ chợ thông khắp nơi (đi ngõ 168 Hào Nam-ngõ 44 Hào Nam),"
Thỏa thuận","
Không xác định","
Đống Đa - Hà Nội",29/06/2023,['/Images/no-photo170.png']
"Cho thuê cửa hàng làm gì cũng được, cắt tóc gội đầu, làm móng, làm mi.... chấp nhận hàng ăn  bún ph","
Thỏa thuận","
Không xác định","
Đống Đa - Hà Nội",29/06/2023,['/Images/no-photo170.png']
CHO THUÊ NHÀ ĐÃ HOÀN THIỆN ĐẸP CÓ THANG MÁY GIÁ CHỈ 20 TR/THÁNG TẠI KHU C GELEXIMCO,"
20 Triệu/tháng","
96 m²","
Hà Đông - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/14/20230614224028-f657_wm.jpg']
"Cho thuê nhà trọ, phòng trọ tại Đường Tôn Đức Thắng, Phường Ô Chợ Dừa, Đống Đa, Hà Nội","
Thỏa thuận","
Không xác định","
Đống Đa - Hà Nội",29/06/2023,['/Images/no-photo170.png']
"Cho thuê Mandarin Garden Hoàng Minh Giám 168m2, 3PN, 2WC đầy đủ nội thất đẹp (ảnh thật)","
Thỏa thuận","
168 m²","
Cầu Giấy - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/09/20230609182111-2ab8_wm.jpg']
CHO THUÊ NHÀ NGUYÊN CĂN PHÙ HỢP LÀM KHO + VĂN PHÒNG,"
7 Triệu/tháng","
120 m²","
Hà Đông - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/14/20230614223318-e5de_wm.jpg']
"CHO THUÊ MBKD LÀM CÀ PHÊ KV VÕ VĂN DŨNG – HOÀNG CẦU, 65M2 × 2 TẦNG. MT 10M, 35TR/THÁNG","
35 Triệu/tháng","
130 m²","
Đống Đa - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/26/20230626220300-cb3a_wm.jpg']
"Cho thuê kho xưởng gần KCN Điện Nam Điện Ngọc, tx Điện Bàn, 2000m2, 40 nghìn/m2","
80 Triệu/tháng","
2000 m²","
Điện Bàn - Quảng Nam",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/20/20230620220035-8003_wm.jpg']
"Mặt bằng kinh doanh Mặt phố, diện tích 180m2 MT 7m,  gần Lĩnh Nam, Tân Mai, Tam Trinh 25tr","
25 Triệu/tháng","
180 m²","
Hoàng Mai - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/23/20230623214729-3e95_wm.jpg']
"Mặt bằng kinh doanh Mặt phố, diện tích 170m2 MT 7m,  gần Lĩnh Nam, Tân Mai, Tam Trinh 25tr","
25 Triệu/tháng","
180 m²","
Hoàng Mai - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/23/20230623214455-3e3c_wm.jpg']
"Mặt bằng kinh doanh Mặt phố, diện tích 170m2 MT 7m,  gầnLĩnh Nam, Tân Mai, Tam Trinh 25tr","
25 Triệu/tháng","
170 m²","
Hoàng Mai - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/23/20230623213039-30a0_wm.jpg']
"Cho thuê kho xưởng gần QL1A xã Hòa Phước, H. Hòa Vang, 5000m2, 40 ngh/m2/th","
200 Triệu/tháng","
5000 m²","
Hòa Vang - Đà Nẵng",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/20/20230620213731-8744_wm.jpg']
Cho thuê căn hộ 3PN 107m2 full nội thất chung cư KeangNam Landmark-Lh 0987391311,"
Thỏa thuận","
109 m²","
Nam Từ Liêm - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/01/20230601152011-a286_wm.jpg']
"Cho thuê căn hộ Thăng Long Number One, 4 phòng ngủ, đủ đồ, vào ở được ngay","
Thỏa thuận","
140 m²","
Nam Từ Liêm - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/04/20/20230420164232-41bb_wm.jpg']
"Cho thuê căn hộ tòa D'Capitale, 119 Trần Duy Hưng, 110m2 C6, nội thất hiện đại, đủ đồ, vào ở luôn","
Thỏa thuận","
110 m²","
Cầu Giấy - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/04/14/20230414154108-5810_wm.jpg']
"Cho thuê căn hộ Skylake Phạm Hùng, 2 ngủ, đủ đồ, view hồ điều hòa-Lh 0987391311","
Thỏa thuận","
80 m²","
Nam Từ Liêm - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/03/04/20230304112022-9df2_wm.jpg']
"Cho thuê căn hộ chung cư tòa Indochina Plaza mặt đường Xuân Thủy, Cầu Giấy,3 ngủ, đầy đủ đồ","
Thỏa thuận","
116 m²","
Cầu Giấy - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/12/27/20221227095324-ba32_wm.jpg']
"Cho thuê căn hộ tầng 18, Vinhomes Skylake 3 phòng ngủ, view hồ điều hòa, sẵn slot ô tô","
Thỏa thuận","
101 m²","
Nam Từ Liêm - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2022/11/16/20221116102830-0496_wm.jpg']
"Cho thuê căn hộ chung cư tòa Vinhomes Gardenia, DT 116m2, 3 PN, đủ đồ đẹp","
Thỏa thuận","
Không xác định","
Nam Từ Liêm - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/12/20230612155657-6998_wm.jpg']
"Cho thuê căn hộ chung cư tại dự án Thái An Apartment, Quận 12, Hồ Chí Minh DT 49m2 giá 6.5 tr/th","
6.5 Triệu/tháng","
40 m²","
Quận 12 - Hồ Chí Minh",29/06/2023,"['https://img.dothi.net/crop/170x115/2023/06/14/20230614213048-2b0f_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/14/20230614213048-2b0f_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/14/20230614213225-fd3f_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/14/20230614213237-53a6_wm.jpg']"
Cho thuê kho xưởng Lĩnh Nam - 900m2 - có chia đôi 130k/m2 - công đỗ,"
58 Triệu/tháng","
900 m²","
Hoàng Mai - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/17/20230617112041-7182_wm.jpg']
"🌠 HOT!Cho thuê xưởng 3000m2 giá rẻ Thiện Tân, Vĩnh Cửu chỉ 80tr","
80 Triệu/tháng","
3000 m²","
Vĩnh Cửu - Đồng Nai",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/29/20230629212622-301f_wm.jpg']
"CHO THUÊ TOÀ VP KV NGUYỄN HOÀNG - DƯƠNG KHUÊ, 140M2 × 6 TẦNG, MT 10M, 120TR/THÁNG","
120 Triệu/tháng","
700 m²","
Cầu Giấy - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/29/20230629212517-d56e_wm.jpg']
"Cho thuê mặt bằng kinh doanh mặt đường Lĩnh Nam-Tam  Trinh, 225m2, giá 25tr","
25 Triệu/tháng","
225 m²","
Hoàng Mai - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/26/20230626211549-4e4c_wm.jpg']
"Cho thuê kho xưởng đường Ngô Quyền, Q. Sơn Trà, 750m2, 45 ngh/m2/th","
45 Nghìn/m²/tháng","
750 m²","
Sơn Trà - Đà Nẵng",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/20/20230620204123-eee5_wm.jpg']
"Cho thuê kho MT QL1A, xã Hòa Châu, H. Hòa Vang, 800m2, 55 nghìn/m2/th","
55 Nghìn/m²/tháng","
800 m²","
Hòa Vang - Đà Nẵng",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/17/20230617203501-705f_wm.jpg']
CHo thuê kho Xưởng trong KCN Nhơn Trạch  5.900 m2,"
690 Triệu/tháng","
5900 m²","
Nhơn Trạch - Đồng Nai",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/02/20230602203419-24f6_wm.jpg']
Cho thuê căn hộ chung cư 3 phòng ngủ Vinhomes Skylake đầy đủ nội thất,"
Thỏa thuận","
107 m²","
Nam Từ Liêm - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2021/06/10/20210610114009-4da2_wm.jpg']
"Cho thuê kho MT QL1A, xã Hòa Châu, H. Hòa Vang, 800m2, 55 nghìn/m2/th","
55 Nghìn/m²/tháng","
800 m²","
Hòa Vang - Đà Nẵng",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/17/20230617203501-705f_wm.jpg']
CHo thuê kho Xưởng trong KCN Nhơn Trạch  5.900 m2,"
690 Triệu/tháng","
5900 m²","
Nhơn Trạch - Đồng Nai",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/02/20230602203419-24f6_wm.jpg']
Cho thuê căn hộ chung cư 3 phòng ngủ Vinhomes Skylake đầy đủ nội thất,"
Thỏa thuận","
107 m²","
Nam Từ Liêm - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2021/06/10/20210610114009-4da2_wm.jpg']
"Cho thuê căn hộ chung cư tòa Luxury Park View Yên Hòa, 2PN, 2WC, đủ đồ đẹp, view công viên","
Thỏa thuận","
70 m²","
Cầu Giấy - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/05/20/20230520104215-5fa5_wm.jpg']
"Cho thuê căn hộ Indochina IPH Plaza, căn 145m2, 3 ngủ rộng, đầy đủ nội thất đẹp","
Thỏa thuận","
145 m²","
Cầu Giấy - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/04/08/20230408104114-2939_wm.jpg']
"Cho thuê căn hộ chung cư Star Tower (tòa tháp ngôi sao), căn penthouse, dt 250m2, đầy đủ đ","
Thỏa thuận","
250 m²","
Cầu Giấy - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/04/06/20230406101320-c742_wm.jpg']
"Cho thuê kho xưởng trong KCN Hòa Cầm, Q. Cẩm Lệ 500m2, 55 ngh/m2/th","
55 Triệu/tháng","
1000 m²","
Cẩm Lệ - Đà Nẵng",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/20/20230620202359-106e_wm.jpg']
"Cho thuê căn hộ Duplex Royal City, 4 phòng ngủ, đủ đồ tân cổ điển","
Thỏa thuận","
180 m²","
Thanh Xuân - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/01/20230601164622-7100_wm.jpg']
