Tiêu đề,Giá,Diện tích,Vị trí,Ngày đăng,Danh sách đường dẫn
"Tôi cần bán gấp nhà 3 tấm,HXH 7m, nhà đẹp, hẻm an ninh, sổ hồng, 0909940485","
9.2 Tỷ","
65 m²","
Phú Nhuận - Hồ Chí Minh",26/06/2023,['https://img.dothi.net/crop/170x115/2023/06/26/20230626160022-613a_wm.jpg']
"Chính chủ nhờ bán lô đất khu đô thị sinh thái Cẩm Đình, Phúc Thọ, Hà Nội","
Thỏa thuận","
1200 m²","
Phúc Thọ - Hà Nội",26/06/2023,['https://img.dothi.net/crop/170x115/2021/02/19/20210219172049-7524_wm.jpg']
Chính chủ bán nhà 8 tầng mặt tiền khủng 6m khu vip Tứ Liên - Tây Hồ,"
8.5 Tỷ","
325 m²","
Tây Hồ - Hà Nội",26/06/2023,['https://img.dothi.net/crop/170x115/2023/05/15/20230515133457-846b.jpg']
"Chủ bán gấp nhà 78m2 mặt ngõ 259 phố Kim Mã, Ba Đình, Hà Nội. Ra phố 10m. Giá cực tốt 103,8tr/m2","
8.1 Tỷ","
78 m²","
Ba Đình - Hà Nội",26/06/2023,"['https://img.dothi.net/crop/170x115/2023/05/31/20230531105256-2040_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/05/31/20230531105256-2040_wm.jpg', 'https://img.dothi.net/crop/170x115/2022/11/01/20221101102234-c5bd_wm.jpg', 'https://img.dothi.net/crop/170x115/2022/11/01/20221101102250-ac41_wm.jpg']"
"Giảm 100 triệu Bán căn góc có nội thất cơ bản, 79m2, 2 phòng ngủ, 1 phòng khách, bếp","
2.45 Tỷ","
79 m²","
Gò Vấp - Hồ Chí Minh",25/06/2023,['https://img.dothi.net/crop/170x115/2020/09/12/20200912085229-c184_wm.jpg']
"Bán shophouse CC Dream Home Luxury, 88 m2, 1 trệt, 1 lầu, 2.5 tỷ, cho thuê 11tr/th","
2.5 Tỷ","
88 m²","
Gò Vấp - Hồ Chí Minh",25/06/2023,['https://img.dothi.net/crop/170x115/2018/07/20/20180720105840-2517_wm.jpg']
"Giảm 100tr Bán căn góc 3 phòng ngủ, 2 toilet, CC Dream Home Residence Gò Vấp, tel 0906388348","
2.4 Tỷ","
74 m²","
Gò Vấp - Hồ Chí Minh",25/06/2023,['https://img.dothi.net/crop/170x115/2019/11/25/20191125081613-0c5d_wm.jpg']
BÁN NHÀ MỸ ĐÌNH NHÀ ĐẸP Ở NGAY TẶNG NỘI THẤT 30M2 GIÁ 4.3 TỶ 0973497885,"
4.30 Tỷ","
30 m²","
Nam Từ Liêm - Hà Nội",24/06/2023,['https://img.dothi.net/crop/170x115/2023/06/24/20230624072649-9ce6_wm.jpg']
"🔥 SỞ HỮU NGAY CĂN NHÀ Hồ Tùng Mậu 50m2 - 5 tầng nhà mới đẹp ở ngay, ôtô đỗ cửa nhỉnh 5 tỷ","
5.5 Tỷ","
50 m²","
Cầu Giấy - Hà Nội",22/06/2023,['https://img.dothi.net/crop/170x115/2023/06/22/20230622193606-fd59_wm.jpg']
"Chính chủ bán nhà 6 tầng ngõ 72 Nguyễn Trãi - hoàn thiện đẹp, chắc chắn, sổ đỏ","
5.3 Tỷ","
33 m²","
Thanh Xuân - Hà Nội",19/06/2023,['https://img.dothi.net/crop/170x115/2023/04/24/20230424165537-2377_wm.jpg']
"5,2 tỷ sở hữu căn nhà 5 tầng Chu Huy Mân - Long Biên - kinh doanh sầm uất ngõ ô tô - hoàn thiện đẹp","
5.2 Tỷ","
35 m²","
Long Biên - Hà Nội",19/06/2023,['https://img.dothi.net/crop/170x115/2023/03/20/20230320171409-15d9_wm.jpg']
"Chủ kẹt tiền gửi bán nền đất 7x19m MT Trương Văn Bang 40m, Thạnh Mỹ Lợi Q. 2 giá rất rẻ. 0908526586","
200 Triệu/m²","
133 m²","
Quận 2 - Hồ Chí Minh",08/06/2023,"['https://img.dothi.net/crop/170x115/2023/05/22/20230522104424-a73b_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/05/22/20230522104424-a73b_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/05/22/20230522104116-43d4_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/05/22/20230522104138-3b18_wm.jpg']"
"Bán nền 193.7 m2 cặp sông Cái Răng Bé P. Thường Thạnh, Q. Cái Răng, giá 2 tỷ 150 triệu","
2.2 Tỷ","
193.7 m²","
Cái Răng - Cần Thơ",30/06/2023,['https://img.dothi.net/crop/170x115/2021/05/21/20210521082139-e553_wm.jpg']
"Chính chủ bán biệt thự khu K - KĐT Ciputra, có nội thất, view vườn hoa, hướng Nam mát mẻ, giá tốt","
290 Triệu/m²","
140 m²","
Tây Hồ - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/02/20/20230220120552-6281_wm.jpeg']
"Bán nhà mặt phố tại Đường La Thành, Ba Đình, Hà Nội diện tích 144m2*5 tầng,giá 70 Tỷ","
70 Tỷ","
144 m²","
Ba Đình - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/29/20230629223646-0f57_wm.jpg']
BÁN NHÀ PHÂN LÔ NGHĨA ĐÔ - PHỐ HÓT CẦU GIẤY - Ô TÔ TRÁNH - HAI VỈA HÈ RỘNG - THÔNG SỐ ĐẸP - KINH DO,"
20 Tỷ","
77 m²","
Cầu Giấy - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/29/20230629215553-ba5d_wm.jpg']
Bán căn hộ chung cư 3 phòng ngủ UDIC Westlake Võ Chí Công - Cầu Nhật Tân - Tây Hồ (căn góc),"
46 Triệu/m²","
168 m²","
Tây Hồ - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/15/20230615163126-a8b3_wm.jpg']
Cần bán gấp nhà khu dân cư Lucky Dragon Quận 9,"
17 Tỷ","
134 m²","
Quận 9 - Hồ Chí Minh",29/06/2023,"['https://img.dothi.net/crop/170x115/2023/03/10/20230310102923-a834_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/03/10/20230310102923-a834_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/03/10/20230310102926-4603_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/03/10/20230310103030-f58b_wm.jpg']"
"985 triệu đã có 101m2 đất đường 15m kế Chợ Mới Minh Lương, xây tự do, full thổ, thanh toán 20 tháng","
985 Triệu","
101.3 m²","
Châu Thành - Kiên Giang",29/06/2023,"['https://img.dothi.net/crop/170x115/2023/06/29/20230629154411-1ead_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/29/20230629154411-1ead_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/29/20230629154418-358f_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/29/20230629154422-bbbb_wm.jpg']"
"Nhà đẹp phố Nguyễn Phúc Lai, Đống Đa, 60m2, 5 tầng chỉ 14,5 tỷ","
14.5 Tỷ","
60 m²","
Đống Đa - Hà Nội",29/06/2023,"['https://img.dothi.net/crop/170x115/2022/10/27/20221027163419-32df_wm.jpg', 'https://img.dothi.net/crop/170x115/2022/10/27/20221027163419-32df_wm.jpg', 'https://img.dothi.net/crop/170x115/2022/10/27/20221027163450-934a_wm.jpg', 'https://img.dothi.net/crop/170x115/2022/10/27/20221027163506-1927_wm.jpg']"
Bán bán gấp lô đất gia đinh thiếu nợ cần bán cắt lổ lô đất diện tích;123m2,"
1.2 Tỷ","
123 m²","
Phú Quốc - Kiên Giang",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/29/20230629150918-5246_wm.jpg']
Chính chủ cần tiền hạ 1 tỷ bán đất đầu đường Văn Tiến Dũng - Đối diện công viên và sát cầu Cẩm Lệ,"
4.3 Tỷ","
100 m²","
Cẩm Lệ - Đà Nẵng",29/06/2023,"['https://img.dothi.net/crop/170x115/2023/06/22/20230622145807-8aaf_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/22/20230622145807-8aaf_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/22/20230622150307-f7a6_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/22/20230622150446-f5e0_wm.jpg']"
CHÍNH CHỦ BÁN ĐẤT VĂN MINH P.AN PHÚ TP.THỦ ĐỨC,"
Thỏa thuận","
Không xác định","
Quận 2 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/02/21/20230221135841-ea25_wm.jpg']
Bán đất Phú Nhuận mặt tiền Sông Giồng Ông Tố Q2 TP. HCM,"
Thỏa thuận","
340 m²","
Quận 2 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/02/06/20230206101616-3665_wm.jpg']
Chính chủ bán đất An Phú An Khánh P. An Phú TP. Thủ Đức,"
152 Triệu/m²","
205 m²","
Quận 2 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/02/14/20230214094304-0e1e_wm.jpg']
Chính chủ bán đất An Phú An Khánh Q2,"
71.5 Tỷ","
200 m²","
Quận 2 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2022/09/26/20220926100437-2fdf_wm.jpg']
Chuyên bán nhà khu an phú an khánh Q2 TP.HCM,"
Thỏa thuận","
Không xác định","
Quận 2 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/05/20230605111157-92b8_wm.jpg']
"Bán đất nền dự án tại Đường Trương Văn Bang, Phường  Thạnh Mỹ Lợi, Q2 TP.HCM","
135 Triệu/m²","
160 m²","
Quận 2 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/09/20230609105120-500a_wm.jpg']
"Bán đất nền dự án tại Đường Sử Hy Nhan, Phường  Thạnh Mỹ Lợi, Quận 2, TPHCM","
150 Triệu/m²","
184 m²","
Quận 2 - Hồ Chí Minh",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/09/20230609105706-f384_wm.jpg']
Bán nhà Phân lô phố Trần Quốc Hoàn - Cầu Giấy - giá rẻ nhất khu vực,"
10.5 Tỷ","
60 m²","
Cầu Giấy - Hà Nội",29/06/2023,"['https://img.dothi.net/crop/170x115/2023/06/29/20230629104043-8cac_wm.jpeg', 'https://img.dothi.net/crop/170x115/2023/06/29/20230629104043-8cac_wm.jpeg', 'https://img.dothi.net/crop/170x115/2023/06/29/20230629104043-70d3_wm.jpeg', 'https://img.dothi.net/crop/170x115/2023/06/29/20230629104043-c2e1_wm.jpeg']"
Hơn 300tr trả góp 100tr là có nhà chung cư tại Bắc Giang gần KCN,"
360000.00 Tỷ","
30 m²","
Việt Yên - Bắc Giang",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/22/20230622102649-87c6_wm.jpg']
"Bán 7x40m full thổ cư gần biển, MT Phan Chu Trinh Xã Tân Phước, La Gi, Bình Thuận gía ngộp","
2.45 Tỷ","
282 m²","
La Gi - Bình Thuận",29/06/2023,['https://img.dothi.net/crop/170x115/2023/05/25/20230525053750-0935_wm.jpg']
Bán nhà 2 tầng Đường 2/4 Vạn Thắng - nha trang,"
2.3 Tỷ","
40 m²","
Nha Trang - Khánh Hòa",29/06/2023,"['https://img.dothi.net/crop/170x115/2023/06/29/20230629085006-4bc3_wm.jpeg', 'https://img.dothi.net/crop/170x115/2023/06/29/20230629085006-4bc3_wm.jpeg', 'https://img.dothi.net/crop/170x115/2023/06/29/20230629085018-a490_wm.jpeg', 'https://img.dothi.net/crop/170x115/2023/06/29/20230629085023-0dfc_wm.jpeg']"
"Danh sách Căn hộ Vinhomes D''capitle Bán chuyển nhượng gấp T6/2023, giá rẻ : Studio, 1PN,2PN và 3PN","
Thỏa thuận","
72 m²","
Cầu Giấy - Hà Nội",29/06/2023,['https://img.dothi.net/crop/170x115/2023/06/29/20230629061024-7f28_wm.jpg']
"Bán biệt thự 150m2 Ciputra Hà Nội giá chỉ 245tr/m2, sổ đỏ chính chủ","
245 Triệu/m²","
150 m²","
Tây Hồ - Hà Nội",28/06/2023,['https://img.dothi.net/crop/170x115/2023/06/21/20230621213726-e97e_wm.jpg']
Biệt thự sinh thái Cẩm Đình Hiệp Thuận (Sunshine Heritage Hà Nội) đầu tư cực tốt,"
4.5 Triệu/m²","
1000 m²","
Phúc Thọ - Hà Nội",28/06/2023,['https://img.dothi.net/crop/170x115/2023/03/13/20230313100716-dbf8_wm.jpg']
Đất đường Nguyễn Minh Châu Xã Tân Tiến La gi Bình Thuận 15x108m 2 mt đường 3 tỷ gần biển cắt lỗ 45%,"
3 Tỷ","
1917 m²","
La Gi - Bình Thuận",28/06/2023,"['https://img.dothi.net/crop/170x115/2023/06/14/20230614202957-2577_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/14/20230614202957-2577_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/14/20230614202958-5a75_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/14/20230614203000-3a8c_wm.jpg']"
"Bán GẤP : nhà Minh Khai , 48m2x5T , 4,1 tỷ, ở ngay , cách ngõ ô tải 30m , vỉa hè rộng","
4.1 Tỷ","
48 m²","
Hai Bà Trưng - Hà Nội",28/06/2023,['https://img.dothi.net/crop/170x115/2023/06/28/20230628174645-7c3b_wm.jpg']
"Bán suất ngoại giao đất dự án Cẩm Đình Hiệp Thuận giai đoạn 2, đầu tư hiếm có","
8 Tỷ","
10000 m²","
Phúc Thọ - Hà Nội",28/06/2023,['https://img.dothi.net/crop/170x115/2023/05/30/20230530162900-1038_wm.jpg']
"Bán gấp nhà cấp 4 mặt phố Thụy Khuê, Tam Đa, Tây Hồ, Hà Nội. DT 23m2 đường oto 10m. Giá đầu tư 2023","
5.9 Tỷ","
23 m²","
Tây Hồ - Hà Nội",28/06/2023,['https://img.dothi.net/crop/170x115/2023/03/20/20230320111959-d7c3_wm.jpg']
"Bán gấp lô đất mặt hồ làm nghỉ dưỡng, trang trại tại Hòa Bình gần Hà Nội, DT 29340m2 giá rẻ 1tr2/m2","
1.2 Triệu/m²","
29340 m²","
Lương Sơn - Hòa Bình",28/06/2023,['https://img.dothi.net/crop/170x115/2022/12/15/20221215160032-daf9_wm.jpg']
"Chủ bán căn góc đẹp nhất tòa CC 60 Hoàng Quốc Việt, DT 118m2, Full đồ giá 5.6 tỷ/ căn:0981129026","
5.6 Tỷ","
118 m²","
Cầu Giấy - Hà Nội",28/06/2023,"['https://img.dothi.net/crop/170x115/2023/06/28/20230628160653-d683_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/28/20230628160653-d683_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/28/20230628160701-4d45_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/28/20230628160725-db9a_wm.jpg']"
Cắt lỗ 200 - 500tr/căn (chính chủ - Vinhomes Times City gửi danh sách CH chuyển nhượng giá rẻ nhất,"
3.5 Tỷ","
97.5 m²","
Hai Bà Trưng - Hà Nội",28/06/2023,['https://img.dothi.net/crop/170x115/2021/11/21/20211121090552-c621_wm.jpg']
"Bán đất lô góc hai mặt tiền ba trại,giá hơn 1ty 1 xíu,cách trường học chỉ 70m;LH0931444429","
Thỏa thuận","
123 m²","
Phú Quốc - Kiên Giang",28/06/2023,['https://img.dothi.net/crop/170x115/2023/06/28/20230628150549-24f0_wm.jpg']
QUỸ CĂN HỘ BÁN CẮT LỖ TỪ 3-800TR CHCC Times City và Park Hill T06/2023 Miễn Dịch Vụ,"
3.35 Tỷ","
94.4 m²","
Hai Bà Trưng - Hà Nội",28/06/2023,['https://img.dothi.net/crop/170x115/2021/07/15/20210715084833-2d6a_wm.jpg']
"Bán Đất Xây Toà Nhà, Chia Lô 2 Căn, Ô Tô Tránh Phố Lương Đình Của Đống Đa DT 156M MT 8M Giá 20.3Tỷ","
20.3 Tỷ","
156 m²","
Đống Đa - Hà Nội",28/06/2023,['https://img.dothi.net/crop/170x115/2023/05/31/20230531082951-7a63_wm.jpeg']
"Bán Nhà Ô Tô Tránh Thang Máy  Kinh Doanh, Lương Đình Của Đống Đa, DT 52M 6T MT 4.7M Giá 11.2Tỷ","
11.2 Tỷ","
52 m²","
Đống Đa - Hà Nội",28/06/2023,['https://img.dothi.net/crop/170x115/2023/05/31/20230531081647-448e_wm.jpeg']
"Duy nhất 1 căn hộ giá thấp hơn thị trường 200 triệu tại dự án The Eastgate, nhà mới 100% vào ở ngay","
Thỏa thuận","
Không xác định","
Quận 9 - Hồ Chí Minh",28/06/2023,['https://img.dothi.net/crop/170x115/2023/06/28/20230628143019-c628_wm.jpg']
Bán biệt thự đơn lập đầu hồi  Nguyệt quế nhà thô DT đất rộng 310 m2,"
Thỏa thuận","
Không xác định","
Long Biên - Hà Nội",28/06/2023,['https://img.dothi.net/crop/170x115/2023/06/28/20230628111343-9506_wm.jpg']
"Tôi kẹt tiền cần bán gấp nhà 3 tấm ngay Phan Đình Phùng, Phú Nhuận, 3.25x20m, HXH 7m","
9 Tỷ","
65 m²","
Phú Nhuận - Hồ Chí Minh",28/06/2023,['https://img.dothi.net/crop/170x115/2023/05/31/20230531102114-edd3_wm.jpg']
"Ngộp bank cần bán lỗ 300 triệu căn 1PN+ tại căn hộ Legacy Prime, cuối năm nhận nhà, sổ vĩnh viễn","
1.05 Tỷ","
42 m²","
Thuận An - Bình Dương",27/06/2023,['https://img.dothi.net/crop/170x115/2023/06/27/20230627150244-5c93_wm.jpg']
"Bán căn hộ vip tại chung cư Indochina IPH 241 Xuân Thủy, 207m2-217m2 tầng cao view thoáng 4PN 3WC","
Thỏa thuận","
217 m²","
Cầu Giấy - Hà Nội",27/06/2023,['https://img.dothi.net/crop/170x115/2023/06/13/20230613144226-b362_wm.jpg']
"Chính chủ bán 2 căn nhà Hậu Ái, Vân Canh. DT: 41m2 $ 45m2 x 4 tầng, hướng Đông, giá 2.99tỷ và 3.1tỷ","
2.99 Tỷ","
41 m²","
Hoài Đức - Hà Nội",27/06/2023,['https://img.dothi.net/crop/170x115/2023/06/27/20230627105127-7315_wm.jpg']
Chính chủ cần bán lô 242m2 – Ngay cổng trường học Vinshool. Giá yêu thương dễ đầu tư,"
Thỏa thuận","
242 m²","
Hoài Đức - Hà Nội",27/06/2023,['https://img.dothi.net/crop/170x115/2023/06/27/20230627103133-1289_wm.jpg']
20.068m2 đất Bình Tân giá 65k/m2 - mặt tiền đường sỏi 6m  Giá 1 tỷ 300 triệu - Sổ Hồng Riêng,"
1.3 Tỷ","
20 m²","
Bắc Bình - Bình Thuận",27/06/2023,['https://img.dothi.net/crop/170x115/2023/06/27/20230627090256-f852_wm.jpg']
Bán nhà 5 tầng tum phố Cửa  Bắc - Ba Đình - Diện tích 40m2 đầy đủ công năng sử dụng - Giá hợp lý,"
10.8 Tỷ","
40 m²","
Ba Đình - Hà Nội",27/06/2023,"['https://img.dothi.net/crop/170x115/2023/06/27/20230627090010-dcc0_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/27/20230627090010-dcc0_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/27/20230627090010-11e9_wm.jpg', 'https://img.dothi.net/crop/170x115/2023/06/27/20230627090010-2289_wm.jpg']"
3 LÔ ĐẤT XÃ HỒNG THÁI GẦN BIỂN GIÁ 70K/M2 - SỔ HỒNG RIÊNG - CẦN TIỀN BÁN GẤP,"
Thỏa thuận","
11000 m²","
Bắc Bình - Bình Thuận",27/06/2023,['https://img.dothi.net/crop/170x115/2023/06/27/20230627084945-f32f_wm.jpg']
"Bán đất mặt đường mặt đường Võ Chí Công, Xuân La, DT 1800m2, mt: 30m, tiện kinh doanh lớn","
85 Triệu/m²","
1800 m²","
Tây Hồ - Hà Nội",27/06/2023,['https://img.dothi.net/crop/170x115/2023/02/06/20230206093238-9fab_wm.jpg']
"Bán chuyển nhượng đất mặt đường Đức Diễn, phường Phúc Diễn, diện tích 2500m2, mặt tiền 50m","
46 Triệu/m²","
2000 m²","
Bắc Từ Liêm - Hà Nội",27/06/2023,['https://img.dothi.net/crop/170x115/2021/02/23/20210223095820-6fc1_wm.jpg']
"Bán đất gần Hồ Hoàng Cầu vào ngõ, diện tích 2000m2, MT hơn: 30m đường rộng lô góc tiện KD lớn","
100 Tỷ","
2000 m²","
Đống Đa - Hà Nội",27/06/2023,['https://img.dothi.net/crop/170x115/2023/02/11/20230211082004-f8a9_wm.jpg']
Bán căn hộ chung cư thương mại vip tòa 17T6 Hoàng Đạo Thúy DT 119m2 thiết kế đẹp làm văn phòng,"
36.5 Triệu/m²","
119 m²","
Thanh Xuân - Hà Nội",27/06/2023,['https://img.dothi.net/crop/170x115/2023/02/10/20230210095650-21ad_wm.jpg']
"Bán đất đầu ngõ An Phú thị trấn Chúc Sơn đường rộng, ô tô vào diện tích 80m2, mặt tiền 4,8m","
26 Triệu/m²","
80 m²","
Chương Mỹ - Hà Nội",27/06/2023,['https://img.dothi.net/crop/170x115/2023/01/06/20230106110513-1c64_wm.jpg']
🔵 Hàng Hót 200 mẫu Tân Thắng Hàm Tân Gần Biển Giá Chỉ 2.5 tỷ/ mẫu,"
499999997952 Tỷ","
200000 m²","
Hàm Tân - Bình Thuận",27/06/2023,['https://img.dothi.net/crop/170x115/2023/06/27/20230627082609-2a93_wm.jpg']
BÁN NHÀ SIÊU PHẨM LÊ ĐỨC THỌ 7 TẦNG THANG MÁY 80M2 GIÁ 26 TỶ 0973497885,"
26 Tỷ","
80 m²","
Nam Từ Liêm - Hà Nội",27/06/2023,['https://img.dothi.net/crop/170x115/2023/06/27/20230627082357-f975_wm.jpg']
Bán nhà phố Trung Kính Cầu Giấy 75m2 7 tầng thang máy kinh doanh 23 tỷ,"
23 Tỷ","
75 m²","
Cầu Giấy - Hà Nội",26/06/2023,['https://img.dothi.net/crop/170x115/2023/02/23/20230223091940-5690_wm.jpg']
"Bán gấp nhà phố Khúc Thừa Dụ Cầu Giấy 55m2 7 tầng thang máy kinh doanh ô tô tránh 15,8 tỷ","
15.8 Tỷ","
55 m²","
Cầu Giấy - Hà Nội",26/06/2023,['https://img.dothi.net/crop/170x115/2023/06/26/20230626204819-e60b_wm.jpeg']
"Bán nhà phố Nguyễn Văn Huyên Cầu Giấy 85m2 MT 6m phân lô ô tô tránh 23,5 tỷ","
23.5 Tỷ","
85 m²","
Cầu Giấy - Hà Nội",26/06/2023,['https://img.dothi.net/crop/170x115/2023/05/23/20230523110558-a26d_wm.jpeg']
"BÁN NHÀ PHỐ CẦU GIẤY 60M 7 TẦNG THANG MÁY GARA Ô TÔ TRÁNH  KINH DOANH 15,9 TỶ.","
15.9 Tỷ","
60 m²","
Cầu Giấy - Hà Nội",26/06/2023,['https://img.dothi.net/crop/170x115/2023/02/19/20230219102116-6fcd_wm.jpg']
Bán nhà sổ hồng riêng thổ cư gần chợ đồi phường An Bình Biên Hoà chỉ 2 tỷ 650,"
2.65 Tỷ","
105 m²","
Biên Hòa - Đồng Nai",26/06/2023,['https://img.dothi.net/crop/170x115/2023/06/12/20230612190935-097a_wm.jpg']
"Biệt thự 6T thang máy, Ba Đình, DT420m MT20m, 440 tỷ ","
440 Tỷ","
420 m²","
Ba Đình - Hà Nội",26/06/2023,['https://img.dothi.net/crop/170x115/2023/06/26/20230626183546-2809_wm.jpg']
"Bán biệt thự liền kề Sunshine City siêu đẹp, siêu rẻ, hiếm có","
200 Triệu/m²","
200 m²","
Bắc Từ Liêm - Hà Nội",26/06/2023,['https://img.dothi.net/crop/170x115/2023/02/23/20230223133534-6169_wm.jpg']
